"TomCherry", 581.68, 232
"Berenjena", 55.20, 714
"Frambuesa", 2042.30, 83
"Morron", 2961.80, 486
"Lima", 1266.79, 204
"Banana", 68.11, 800
"Melon", 122.02, 368
"Lima", 1346.11, 176
"Durazno", 263.77, 840
"Kiwi", 394.85, 448
"Coliflor", 29.32, 450
"Coliflor", 19.39, 470
"Sandia", 68.69, 900
"Morron", 2854.28, 528
"Cebolla", 78.89, 896
"Mandarina", 26.82, 1010
"Durazno", 275.46, 944
"Naranja", 17.88, 1200
"Durazno", 143.27, 728
"Coliflor", 20.39, 580
"Choclo", 55.15, 264
"Coliflor", 36.19, 530
"Coliflor", 25.89, 570
"Apio", 59.30, 249
"Pera", 129.40, 950
"Lima", 1047.47, 198
"Cebolla", 73.09, 680
"TomCherry", 550.27, 214
"Apio", 52.25, 348
"Apio", 46.85, 327
"Limon", 356.18, 693
"Naranja", 15.57, 820
"Lechuga", 43.41, 1053
"Papa", 12.51, 880
"Repollo", 7.71, 784
"Naranja", 14.16, 1070
"Cereza", 1007.97, 166
"Zanahoria", 29.98, 492
"Naranja", 10.68, 1050
"Mandarina", 21.04, 1000
"Lechuga", 33.36, 918
"Lima", 1246.40, 192
"Ciruela", 974.06, 900
"Zuccini", 91.70, 564
"Cereza", 959.47, 194
"Palta", 1182.36, 444
"Limon", 345.26, 665
"Durazno", 287.54, 680
"Alcachofa", 131.87, 327
"Esparrago", 648.06, 202
"Tomate", 700.20, 909
"Mandarina", 18.61, 1190
"Pomelo", 38.84, 720
"Sandia", 58.65, 918
"Kinoto", 30.30, 220
"Frutilla", 302.19, 246
"Higo", 2428.69, 94
"Durazno", 286.97, 896
"Mandarina", 16.72, 880
"Lima", 1049.23, 218
"Ajo", 926.52, 111
"Manzana", 146.76, 920
"Durazno", 138.12, 896
"Rabanito", 225.34, 318
"Lima", 1269.37, 176
"Frambuesa", 1953.63, 95
"Coliflor", 37.13, 445
"Durazno", 166.92, 856
"Pepino", 38.55, 510
"Acelga", 25.20, 828
"Lima", 1391.30, 200
"Caqui", 831.08, 98
"Cereza", 1025.98, 234
"Mandarina", 19.14, 820
"Apio", 61.52, 279
"Frutilla", 275.48, 351
"Alcachofa", 119.62, 330
"Frutilla", 300.78, 351
"Uva", 723.65, 276
"Pepino", 40.43, 465
"Uva", 716.50, 297
"Tomate", 732.11, 1035
"Zanahoria", 30.13, 576
"Sandia", 54.75, 1026
"Frutilla", 308.25, 279
"Higo", 2483.12, 113
"Pera", 144.11, 1130
"Lima", 1342.50, 238
"Pomelo", 42.60, 1062
"Mandarina", 12.40, 830
"Brocoli", 389.13, 408
"Brocoli", 358.95, 348
"Zuccini", 68.04, 708
"Batata", 23.16, 990
"Cebolla", 75.80, 808
"Banana", 65.17, 1080
"Durazno", 135.40, 904
"Pomelo", 57.59, 927
"Ajo", 872.35, 106
"Banana", 64.82, 1150
"Frambuesa", 2116.65, 116
"Ciruela", 924.90, 954
